-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(2)         0.00%       0.000us         0.00%       0.000us       0.000us        1.721s       134.04%        1.721s       6.830ms           252  
                  execute_context_1(19)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     838.182ms        65.27%     838.182ms     279.394ms             3  
void exl3_moe_kernel<2, 256>(__half const*, __half*,...         0.00%       0.000us         0.00%       0.000us       0.000us     441.261ms        34.36%     441.261ms       1.313ms           336  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     318.200ms        24.78%     318.200ms     166.510us          1911  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     263.314ms        20.51%     263.314ms     365.207us           721  
                               vllm::moe_forward_shared         1.01%      12.533ms         4.15%      51.244ms       1.192ms     181.183ms        14.11%     196.581ms       4.572ms            43  
                                               aten::mm         0.49%       5.999ms         1.02%      12.647ms      31.697us     126.395ms         9.84%     126.499ms     317.040us           399  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      66.727ms         5.20%      66.727ms       3.925ms            17  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      58.192ms         4.53%      58.192ms     587.798us            99  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      11.083ms         0.86%      11.083ms     115.453us            96  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      10.174ms         0.79%      10.174ms     121.122us            84  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       8.120ms         0.63%       8.120ms     507.511us            16  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       7.845ms         0.61%       7.845ms      81.717us            96  
                   _packed_sequential_kda_decode_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       7.529ms         0.59%       7.529ms      31.634us           238  
kernel_cutlass_kernel_b12xnormmhc_kernelsMHCPostPreP...         0.00%       0.000us         0.00%       0.000us       0.000us       6.697ms         0.52%       6.697ms      10.613us           631  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       6.132ms         0.48%       6.132ms      17.420us           352  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.245ms         0.41%       5.245ms       3.120us          1681  
